"","inf","length","tr","context_pos","part_of_speech","pos_neg","past_tense","conj","sex","form","prov_cond","quest"
"57","戻る",3,"to return","left","adj","neg","no",1,"f","vf","no","no"
"58","戻る",3,"to return","right","v","pos","no",1,"m","vf","no","no"
"59","戻る",3,"to return","right","v","pos","no",1,"f","vf","no","no"
"60","救う",3,"to save","right","v","pos","no",1,"f","vf","no","yes"
"61","歌う",3,"to sing","unclear","v","pos","no",1,"f","vf","no","no"
"62","歩く",3,"to walk","unclear","v","pos","no",1,"f","vf","vf","no"
"63","泣く",2,"to cry","unclear","adv","neg","no",1,"f","vf","no","no"
"64","泣く",2,"to cry","unclear","v","pos","yes",1,"f","vf","no","no"
"65","泣く",2,"to cry","right","part","pos","yes",1,"f","vf","no","no"
"66","泣く",2,"to cry","unclear","adj","neg","no",1,"f","vf","no","no"
"67","泣く",2,"to cry","right","adj","neg","no",1,"f","vf","no","no"
"68","泣く",2,"to cry","right","adj","neg","no",1,"f","vf","no","no"
"69","泣く",2,"to cry","unclear","adj","neg","no",1,"f","vf","no","no"
"70","泣く",2,"to cry","right","adv","neg","no",1,"f","vf","no","no"
"71","泣く",2,"to cry","unclear","adj","neg","no",1,"f","vf","no","no"
"72","泣く",2,"to cry","unclear","adv","neg","yes",1,"f","vf","no","no"
"73","泣く",2,"to cry","unclear","adj","neg","no",1,"f","vf","no","no"
"74","泣く",2,"to cry","unclear","v","pos","no",1,"f","vf","vf","no"
"75","泣く",2,"to cry","unclear","v","pos","no",1,"f","vf","no","no"
"76","泣く",2,"to cry","unclear","v","pos","no",1,"f","vf","no","no"
"77","泣く",2,"to cry","unclear","v","pos","no",1,"f","vf","no","no"
"78","泣く",2,"to cry","unclear","v","pos","no",1,"f","vf","no","no"
"79","泣く",2,"to cry","unclear","v","pos","no",1,"f","vf","no","no"
"80","知る",2,"to know","left","adv","neg","no",1,"f","vf","no","no"
"81","知る",2,"to know","right","adv","neg","no",1,"f","vf","no","no"
"82","知る",2,"to know","left","adj","pos","yes",1,"f","vf","no","no"
"83","知る",2,"to know","right","adj","neg","no",1,"f","vf","no","no"
"84","知る",2,"to know","unclear","adj","neg","no",1,"f","vf","no","no"
"85","知る",2,"to know","unclear","adj","neg","no",1,"f","vf","no","no"
"86","知る",2,"to know","unclear","adj","neg","no",1,"f","vf","no","no"
"87","知る",2,"to know","right","adj","neg","no",1,"f","vf","no","no"
"88","知る",2,"to know","right","adj","neg","no",1,"f","vf","no","no"
"89","知る",2,"to know","left","v","neg","no",1,"f","vf","no","no"
"90","知る",2,"to know","right","v","pos","no",1,"f","vf","vf","no"
"91","視る",2,"to see","right","v","pos","no",1,"f","vf","no","no"
"92","笑う",3,"to laugh","right","part","pos","no",1,"f","vf","no","no"
"93","笑う",3,"to laugh","right","part","pos","no",1,"f","vf","no","yes"
"94","笑う",3,"to laugh","left","part","pos","no",1,"f","vf","no","no"
"95","笑う",3,"to laugh","right","part","pos","no",1,"f","vf","no","no"
"96","笑う",3,"to laugh","right","part","pos","no",1,"f","vf","no","no"
"97","笑う",3,"to laugh","right","adj","neg","no",1,"f","vf","sep","no"
"98","笑う",3,"to laugh","right","adj","neg","no",1,"f","vf","sep","no"
"99","笑う",3,"to laugh","right","adj","neg","no",1,"f","vf","no","no"
"100","笑う",3,"to laugh","unclear","adj","neg","no",1,"f","vf","no","no"
"101","笑う",3,"to laugh","unclear","adj","neg","no",1,"f","vf","no","no"
"102","笑う",3,"to laugh","right","v","pos","no",1,"f","vf","no","no"
"103","笑う",3,"to laugh","left","v","pos","no",1,"f","vf","no","no"
"104","紡ぐ",3,"to spin","unclear","v","pos","no",1,"f","vf","no","no"
"105","見る",2,"to see","right","part","pos","no",1,"f","vf","no","no"
"106","見る",2,"to see","right","part","pos","no",1,"m","vf","no","no"
"107","見る",2,"to see","right","part","pos","yes",1,"m","vf","no","no"
"108","見る",2,"to see","right","adj","neg","no",1,"f","vf","no","no"
"109","見る",2,"to see","right","adj","neg","no",1,"f","vf","no","no"
"110","見る",2,"to see","right","adj","neg","no",1,"f","vf","no","no"
"111","見る",2,"to see","left","adj","neg","no",1,"f","vf","no","no"
"112","見る",2,"to see","left","adj","neg","no",1,"f","vf","no","no"
"113","見る",2,"to see","right","adj","neg","no",1,"f","vf","no","no"
"114","見る",2,"to see","left","adj","neg","no",1,"f","vf","no","no"
"115","見る",2,"to see","right","adj","neg","no",1,"m","vf","no","no"
"116","見る",2,"to see","right","adj","neg","no",1,"f","vf","no","no"
"117","見る",2,"to see","left","adj","neg","no",1,"f","vf","no","no"
"118","見る",2,"to see","left","adj","neg","no",1,"f","vf","no","no"
"119","見る",2,"to see","left","adj","neg","no",1,"f","vf","no","no"
"120","見る",2,"to see","right","adj","neg","no",1,"f","vf","no","no"
"121","見る",2,"to see","right","adj","neg","yes",1,"f","vf","no","no"
"122","見る",2,"to see","right","adv","neg","yes",1,"f","vf","no","no"
"123","見る",2,"to see","right","adj","neg","yes",1,"f","vf","no","no"
"124","見る",2,"to see","right","adj","neg","no",1,"f","vf","no","no"
"125","見る",2,"to see","left","v","pos","no",1,"f","vf","no","no"
"126","見る",2,"to see","right","v","pos","no",1,"f","vf","no","no"
"127","見る",2,"to see","right","v","pos","no",1,"f","vf","no","yes"
"128","言う",2,"to say","right","part","pos","no",1,"f","vf","no","no"
"129","言う",2,"to say","right","part","pos","no",1,"f","vf","no","no"
"130","言う",2,"to say","right","adj","neg","no",1,"f","vf","no","no"
"131","言う",2,"to say","left","adj","neg","no",1,"f","vf","no","no"
"132","言う",2,"to say","right","adj","neg","no",1,"f","vf","no","no"
"133","言う",2,"to say","unclear","adj","neg","no",1,"f","vf","no","no"
"134","言う",2,"to say","left","adj","neg","no",1,"f","vf","no","no"
"135","言う",2,"to say","right","adj","neg","no",1,"f","vf","no","no"
"136","言う",2,"to say","right","adj","neg","no",1,"f","vf","no","no"
"137","言う",2,"to say","unclear","adj","neg","no",1,"f","vf","no","no"
"138","言う",2,"to say","unclear","adj","neg","no",1,"f","vf","no","no"
"139","言う",2,"to say","right","adj","neg","no",1,"f","vf","no","no"
"140","言う",2,"to say","unclear","v","pos","no",1,"f","vf","no","no"
"141","言う",2,"to say","right","v","pos","no",1,"f","vf","no","no"
"142","誓う",3,"to vow","right","v","pos","no",1,"f","vf","no","no"
"143","買う",2,"to buy","left","adj","neg","no",1,"f","vf","no","no"
"144","買う",2,"to buy","right","v","pos","no",1,"f","vf","no","no"
"145","近づく",4,"to approach","right","adj","neg","no",1,"f","vf","no","no"
"146","近づく",4,"to approach","right","v","pos","no",1,"f","vf","no","yes"
"147","追う",2,"to chase","unclear","adj","neg","yes",1,"m","vf","no","no"
"148","逢う",2,"to meet","unclear","v","pos","no",1,"f","vf","no","no"
"149","与える",4,"to give","left","v","pos","yes",2,"f","vf","no","no"
"150","与える",4,"to give","right","v","pos","no",2,"m","vf","vf","no"
"151","与える",4,"to give","left","v","pos","no",2,"m","vf","no","no"
"152","与える",4,"to give","left","v","pos","no",2,"m","vf","no","no"
"153","与える",4,"to give","right","adj","neg","no",2,"f","vf","no","no"
"154","与える",4,"to give","right","adj","neg","no",2,"f","vf","no","no"
"155","与える",4,"to give","left","part","pos","yes",2,"f","vf","no","no"
"156","与える",4,"to give","right","part","pos","yes",2,"f","vf","no","no"
"157","与える",4,"to give","unclear","v","pos","yes",2,"f","vf","vf","no"
"158","与える",4,"to give","left","v","pos","yes",2,"f","vf","no","no"
"159","与える",4,"to give","left","v","pos","yes",2,"m","vf","no","no"
"160","与える",4,"to give","left","v","pos","yes",2,"f","vf","no","no"
"161","与える",4,"to give","right","v","pos","yes",2,"f","vf","no","no"
"162","与える",4,"to give","left","v","pos","yes",2,"f","vf","no","no"
"163","与える",4,"to give","right","adv","neg","no",2,"f","vf","no","no"
"164","与える",4,"to give","right","adv","neg","no",2,"m","vf","no","no"
"165","代える",3,"to replace","unclear","adj","neg","no",2,"f","vf","no","no"
"166","代える",3,"to replace","unclear","adj","neg","no",2,"f","vf","no","no"
"167","伝える",4,"to convey","right","v","pos","no",2,"f","vf","vf","no"
"168","伝える",4,"to convey","unclear","v","pos","no",2,"f","vf","no","no"
"169","伝える",4,"to convey","right","v","pos","no",2,"f","vf","no","no"
"170","伝える",4,"to convey","right","v","pos","no",2,"m","vf","no","no"
"171","伝える",4,"to convey","right","v","pos","no",2,"f","vf","no","yes"
"172","伝える",4,"to convey","right","v","pos","no",2,"f","vf","no","yes"
"173","伝える",4,"to convey","right","v","pos","no",2,"f","vf","no","yes"
"174","伝える",4,"to convey","right","v","pos","no",2,"f","vf","no","yes"
"175","伝える",4,"to convey","right","v","pos","no",2,"f","vf","no","yes"
"176","伝える",4,"to convey","unclear","v","pos","no",2,"f","vf","no","no"
"177","伝える",4,"to convey","right","v","pos","no",2,"f","vf","no","no"
"178","伝える",4,"to convey","right","v","pos","no",2,"f","vf","sep","no"
"179","伝える",4,"to convey","right","v","pos","no",2,"f","vf","no","no"
"180","伝える",4,"to convey","left","v","pos","no",2,"f","vf","no","no"
"181","伝える",4,"to convey","right","adj","neg","no",2,"m","vf","no","no"
"182","伝える",4,"to convey","right","adj","neg","no",2,"f","vf","no","no"
"183","伝える",4,"to convey","unclear","adj","neg","no",2,"f","vf","no","no"
"184","伝える",4,"to convey","unclear","adj","neg","no",2,"f","vf","no","no"
"185","伝える",4,"to convey","left","adj","neg","no",2,"f","vf","no","no"
"186","伝える",4,"to convey","right","adj","neg","no",2,"f","vf","no","no"
"187","伝える",4,"to convey","left","adj","neg","yes",2,"f","vf","no","no"
"188","伝える",4,"to convey","left","adj","neg","yes",2,"f","vf","no","no"
"189","伝える",4,"to convey","left","adj","neg","yes",2,"f","vf","no","no"
"190","伝える",4,"to convey","left","adj","neg","yes",2,"f","vf","no","no"
"191","伝える",4,"to convey","right","adj","neg","no",2,"f","vf","no","no"
"192","伝える",4,"to convey","unclear","adj","neg","no",2,"f","vf","no","no"
"193","伝える",4,"to convey","unclear","adj","neg","no",2,"f","vf","no","no"
"194","伝える",4,"to convey","unclear","adj","neg","no",2,"f","vf","no","no"
"195","伝える",4,"to convey","left","adj","neg","no",2,"f","vf","no","no"
"196","伝える",4,"to convey","left","adj","neg","no",2,"f","vf","no","no"
"197","伝える",4,"to convey","left","adj","neg","no",2,"f","vf","no","no"
"198","伝える",4,"to convey","right","adj","neg","no",2,"f","vf","no","no"
"199","伝える",4,"to convey","unclear","adj","neg","no",2,"f","vf","no","no"
"200","伝える",4,"to convey","left","adj","neg","no",2,"f","vf","no","no"
"201","伝える",4,"to convey","unclear","adj","neg","no",2,"f","vf","no","no"
"202","伝える",4,"to convey","right","adj","neg","no",2,"f","vf","no","no"
"203","伝える",4,"to convey","unclear","adj","neg","no",2,"f","vf","no","no"
"204","伝える",4,"to convey","left","adj","neg","no",2,"f","vf","no","no"
"205","伝える",4,"to convey","right","adj","neg","no",2,"f","vf","no","no"
"206","伝える",4,"to convey","right","adj","neg","no",2,"f","vf","no","no"
"207","伝える",4,"to convey","right","adj","neg","no",2,"f","vf","no","no"
"208","伝える",4,"to convey","right","adj","neg","no",2,"f","vf","no","no"
"209","伝える",4,"to convey","right","part","pos","yes",2,"f","vf","no","yes"
"210","伝える",4,"to convey","right","v","pos","yes",2,"f","vf","vf","no"
"211","伝える",4,"to convey","right","v","pos","yes",2,"f","vf","vf","no"
"212","伝える",4,"to convey","right","v","pos","yes",2,"f","vf","vf","no"
"213","伝える",4,"to convey","right","v","pos","yes",2,"f","vf","no","no"
"214","伝える",4,"to convey","right","v","pos","yes",2,"f","vf","no","no"
"215","伝える",4,"to convey","right","v","pos","yes",2,"f","vf","no","no"
"216","伝える",4,"to convey","left","adv","neg","no",2,"f","vf","no","no"
"217","伝える",4,"to convey","right","adv","neg","no",2,"f","vf","no","no"
"218","伝える",4,"to convey","right","adv","neg","no",2,"f","vf","no","no"
"219","伝える",4,"to convey","right","adv","neg","no",2,"f","vf","no","no"
"220","伝える",4,"to convey","right","adv","neg","no",2,"f","vf","no","yes"
"221","伝える",4,"to convey","right","adv","neg","no",2,"f","vf","no","no"
"222","信じる",4,"to believe","right","v","pos","no",2,"f","vf","no","no"
"223","叶える",4,"to grant","right","v","pos","no",2,"f","vf","no","no"
"224","叶える",4,"to grant","right","v","pos","no",2,"f","vf","no","no"
"225","叶える",4,"to grant","right","v","pos","no",2,"f","vf","no","no"
"226","叶える",4,"to grant","right","adj","neg","no",2,"f","vf","no","no"
"227","叶える",4,"to grant","right","adj","neg","no",2,"f","vf","no","no"
"228","叶える",4,"to grant","right","adj","neg","no",2,"f","vf","no","no"
"229","叶える",4,"to grant","right","v","pos","yes",2,"f","vf","no","no"
"230","変える",3,"to change","right","v","pos","no",2,"f","vf","no","no"
"231","変える",3,"to change","unclear","v","pos","no",2,"f","vf","no","no"
"232","変える",3,"to change","left","v","pos","no",2,"f","vf","no","no"
"233","変える",3,"to change","left","v","pos","no",2,"f","vf","no","no"
"234","変える",3,"to change","left","v","pos","no",2,"f","vf","no","no"
"235","変える",3,"to change","right","v","pos","no",2,"f","vf","no","yes"
"236","変える",3,"to change","right","v","pos","no",2,"f","vf","no","no"
"237","変える",3,"to change","left","adj","neg","no",2,"m","vf","no","no"
"238","変える",3,"to change","right","adj","neg","no",2,"f","vf","no","no"
"239","変える",3,"to change","right","adj","neg","no",2,"f","vf","no","no"
"240","変える",3,"to change","unclear","part","pos","yes",2,"f","vf","no","no"
"241","変える",3,"to change","right","v","pos","yes",2,"f","vf","no","no"
"242","変える",3,"to change","right","v","pos","yes",2,"f","vf","no","no"
"243","変える",3,"to change","unclear","adv","neg","yes",2,"m","vf","no","no"
"244","届ける",4,"to deliver","right","adj","neg","no",2,"f","vf","no","no"
"245","忘れる",4,"to forget","unclear","adj","neg","no",2,"f","vf","no","no"
"246","忘れる",4,"to forget","unclear","adj","neg","no",2,"f","vf","no","no"
"247","抑える",4,"to restrain","unclear","adj","neg","no",2,"f","vf","no","no"
"248","抑える",4,"to restrain","left","adj","neg","no",2,"f","vf","no","no"
"249","抑える",4,"to restrain","right","adj","neg","yes",2,"f","vf","no","no"
"250","抑える",4,"to restrain","left","adj","neg","no",2,"f","vf","no","no"
"251","抑える",4,"to restrain","left","adj","neg","no",2,"f","vf","no","no"
"252","抑える",4,"to restrain","left","part","pos","no",2,"f","vf","no","no"
"253","抑える",4,"to restrain","right","adv","neg","yes",2,"f","vf","no","no"
"254","抱える",4,"to hold in arms","right","adj","neg","no",2,"f","vf","no","no"
"255","抱える",4,"to hold in arms","right","adj","neg","no",2,"f","vf","no","no"
"256","捕らえる",4,"to capture","right","v","pos","no",2,"f","vf","no","no"
"257","掴まる",4,"to grasp","unclear","adj","neg","no",2,"f","vf","no","no"
"258","揃える",4,"to gather","left","v","pos","yes",2,"f","vf","no","no"
"259","支える",4,"to support","left","v","pos","no",2,"f","vf","no","no"
"260","支える",4,"to support","left","v","pos","no",2,"f","vf","no","no"
"261","教える",4,"to teach","left","v","pos","yes",2,"f","vf","no","no"
"262","教える",4,"to teach","left","v","pos","yes",2,"f","vf","no","no"
"263","答える",4,"to answer","unclear","adj","neg","no",2,"f","vf","no","no"
"264","答える",4,"to answer","unclear","adj","neg","yes",2,"f","vf","no","no"
"265","答える",4,"to answer","right","adj","neg","no",2,"m","vf","no","no"
"266","答える",4,"to answer","unclear","part","pos","yes",2,"f","vf","no","no"
"267","考える",5,"to think","right","adj","neg","no",2,"m","vf","no","no"
"268","考える",5,"to think","unclear","v","pos","yes",2,"f","vf","vf","yes"
"269","耐える",3,"to bear","unclear","v","pos","no",2,"f","vf","vf","no"
"270","耐える",3,"to bear","right","adj","neg","yes",2,"f","vf","no","no"
"271","耐える",3,"to bear","unclear","adj","neg","no",2,"f","vf","no","no"
"272","耐える",3,"to bear","right","adj","neg","no",2,"f","vf","no","no"
"273","耐える",3,"to bear","right","adj","neg","no",2,"f","vf","no","no"
"274","耐える",3,"to bear","right","adv","neg","yes",2,"f","vf","no","no"
"275","触れる",3,"to touch","unclear","adj","neg","no",2,"f","vf","no","no"
"276","触れる",3,"to touch","unclear","adj","neg","no",2,"f","vf","no","no"
"277","触れる",3,"to touch","left","adj","neg","no",2,"f","vf","no","no"
"278","触れる",3,"to touch","unclear","v","pos","yes",2,"f","vf","no","no"
"279","触れる",3,"to touch","unclear","adv","neg","no",2,"f","vf","no","no"
"280","越える",3,"to cross; to surpass","left","v","pos","no",2,"f","vf","no","no"
"281","越える",3,"to cross; to surpass","left","v","pos","no",2,"m","vf","no","no"
"282","越える",3,"to cross; to surpass","right","v","pos","yes",2,"f","vf","no","no"
"283","越える",3,"to cross; to surpass","right","adv","neg","yes",2,"m","vf","no","no"
"284","越える",3,"to cross; to surpass","right","v","pos","no",2,"f","vf","no","no"
"285","越える",3,"to cross; to surpass","right","v","pos","no",2,"m","vf","no","no"
"286","越える",3,"to cross; to surpass","right","v","pos","yes",2,"f","vf","vf","no"
"287","越える",3,"to cross; to surpass","right","v","pos","yes",2,"f","vf","vf","no"
"288","会う",2,"to meet","left","v","pos","yes",1,"f","subst","no","no"
"289","会う",2,"to meet","unclear","adj","neg","no",1,"f","subst","no","no"
"290","伝える",4,"to convey","right","v","pos","yes",2,"f","subst","sep","no"
"291","伝える",4,"to convey","unclear","v","pos","yes",2,"f","subst","vf","no"
"292","伝える",4,"to convey","unclear","v","pos","yes",2,"f","subst","vf","no"
"293","伝える",4,"to convey","right","v","pos","yes",2,"f","subst","vf","no"
"294","伝える",4,"to convey","right","v","pos","yes",2,"f","subst","no","yes"
"295","伝える",4,"to convey","right","v","pos","yes",2,"m","subst","sep","no"
"296","伝える",4,"to convey","right","v","pos","yes",2,"m","subst","sep","no"
"297","伝える",4,"to convey","right","v","pos","yes",2,"f","subst","no","no"
"298","伝える",4,"to convey","right","v","pos","yes",2,"f","subst","vf","no"
"299","伝える",4,"to convey","right","v","pos","no",2,"f","subst","no","no"
"300","伝える",4,"to convey","right","v","pos","no",2,"f","subst","no","no"
"301","伝える",4,"to convey","right","v","pos","no",2,"f","subst","sep","no"
"302","伝える",4,"to convey","right","adj","neg","no",2,"f","subst","no","no"
"303","伝える",4,"to convey","right","v","pos","no",2,"f","subst","sep","no"
"304","伝える",4,"to convey","right","v","pos","no",2,"f","subst","no","no"
"305","伝える",4,"to convey","right","adj","neg","yes",2,"m","subst","no","no"
"306","伝える",4,"to convey","right","adj","neg","yes",2,"m","subst","no","no"
"307","伝える",4,"to convey","right","v","pos","no",2,"f","subst","sep","no"
"308","伝える",4,"to convey","right","v","pos","no",2,"m","subst","no","no"
"309","伝える",4,"to convey","unclear","v","pos","yes",2,"f","subst","sep","no"
"310","伝える",4,"to convey","right","v","pos","no",2,"f","subst","no","no"
"311","信じる",3,"to believe","unclear","adj","neg","no",2,"f","subst","no","no"
"312","信じる",3,"to believe","right","v","pos","no",2,"m","subst","no","no"
"313","信じる",3,"to believe","right","part","pos","no",2,"m","subst","no","no"
"314","信じる",3,"to believe","right","adj","neg","no",2,"f","subst","sep","no"
"315","信じる",3,"to believe","right","adj","neg","yes",2,"m","subst","no","no"
"316","信じる",3,"to believe","left","v","pos","no",2,"f","subst","no","no"
"317","信じる",3,"to believe","right","v","pos","yes",2,"f","subst","no","no"
"318","信じる",3,"to believe","unclear","adj","neg","no",2,"f","subst","no","no"
"319","信じる",3,"to believe","unclear","adj","neg","no",2,"f","subst","no","no"
"320","信じる",3,"to believe","right","adj","neg","no",2,"f","subst","no","no"
"321","信じる",3,"to believe","left","adj","neg","no",2,"m","subst","no","no"
"322","出会う",3,"to come across","unclear","v","pos","no",1,"f","subst","sep","no"
"323","叶える",4,"to grant","left","v","pos","no",2,"f","subst","no","no"
"324","報われる",5,"to reward","unclear","v","pos","no",2,"f","subst","no","no"
"325","変える",3,"to change","right","adj","neg","no",2,"f","subst","no","no"
"326","変える",3,"to change","right","adj","neg","no",2,"f","subst","no","no"
"327","変える",3,"to change","right","v","pos","no",2,"f","subst","no","no"
"328","変える",3,"to change","right","v","pos","no",2,"f","subst","sep","no"
"329","変える",3,"to change","right","v","pos","no",2,"f","subst","sep","no"
"330","守る",3,"to protect","right","v","pos","no",1,"f","subst","no","yes"
"331","守る",3,"to protect","right","adj","neg","yes",1,"m","subst","no","no"
"332","届ける",4,"to deliver","right","v","pos","no",2,"f","subst","sep","no"
"333","届ける",4,"to deliver","right","v","pos","no",2,"f","subst","no","yes"
"334","届ける",4,"to deliver","right","v","pos","no",2,"m","subst","sep","no"
"335","忘れる",4,"to forget","right","v","pos","no",2,"f","subst","vf","no"
"336","忘れる",4,"to forget","left","adj","neg","no",2,"f","subst","no","no"
"337","忘れる",4,"to forget","right","v","pos","no",2,"f","subst","no","no"
"338","忘れる",4,"to forget","left","adj","neg","no",2,"f","subst","no","no"
"339","忘れる",4,"to forget","right","v","pos","yes",2,"f","subst","sep","no"
"340","忘れる",4,"to forget","right","adj","neg","no",2,"f","subst","no","no"
"341","忘れる",4,"to forget","right","adj","neg","no",2,"f","subst","no","no"
"342","忘れる",4,"to forget","right","v","neg","no",2,"m","subst","no","no"
"343","忘れる",4,"to forget","right","adj","neg","no",2,"f","subst","no","no"
"344","忘れる",4,"to forget","right","adj","neg","no",2,"f","subst","no","no"
"345","戻る",3,"to return","right","v","pos","no",1,"f","subst","sep","no"
"346","戻る",3,"to return","unclear","adj","neg","yes",1,"f","subst","no","no"
"347","戻る",3,"to return","left","adj","neg","no",1,"f","subst","no","no"
"348","歩く",3,"to walk","unclear","v","pos","yes",1,"f","subst","no","no"
"349","歩く",3,"to walk","unclear","v","pos","no",1,"f","subst","no","no"
"350","歩く",3,"to walk","right","v","pos","no",1,"f","subst","sep","no"
"351","歩く",3,"to walk","right","v","pos","no",1,"f","subst","no","no"
"352","泣く",2,"to cry","right","v","neg","no",1,"f","subst","no","no"
"353","知る",2,"to know","right","v","pos","yes",1,"f","subst","no","no"
"354","知る",2,"to know","right","v","pos","yes",1,"f","subst","vf","yes"
"355","知る",2,"to know","right","v","pos","no",1,"f","subst","no","no"
"356","知る",2,"to know","right","v","pos","yes",1,"f","subst","sep","no"
"357","知る",2,"to know","right","v","pos","yes",1,"f","subst","sep","no"
"358","知る",2,"to know","unclear","v","pos","yes",1,"f","subst","no","no"
"359","知る",2,"to know","right","v","pos","yes",1,"m","subst","vf","no"
"360","知る",2,"to know","right","v","pos","no",1,"f","subst","no","yes"
"361","知る",2,"to know","left","adj","neg","no",1,"f","subst","no","no"
"362","知る",2,"to know","right","v","pos","no",1,"f","subst","no","no"
"363","知る",2,"to know","left","adj","neg","no",1,"f","subst","no","no"
"364","知る",2,"to know","right","v","pos","yes",1,"f","subst","sep","no"
"365","視る",2,"to see","right","v","pos","no",1,"f","subst","no","no"
"366","笑う",3,"to smile","unclear","adj","neg","no",1,"f","subst","no","no"
"367","紡ぐ",3,"to spin","right","v","pos","yes",1,"m","subst","no","no"
"368","終える",3,"to finish","right","v","pos","no",2,"m","subst","no","yes"
"369","耐える",3,"to bear","unclear","adj","neg","no",2,"m","subst","no","no"
"370","耐える",3,"to bear","unclear","adj","neg","no",2,"m","subst","no","no"
"371","見る",2,"to see","right","v","pos","no",1,"f","subst","no","no"
"371","見る",2,"to see","right","v","pos","no",1,"m","subst","no","no"
"372","見る",2,"to see","right","v","pos","no",1,"f","subst","no","no"
"373","見る",2,"to see","right","v","pos","no",1,"f","subst","no","no"
"374","見る",2,"to see","right","v","pos","no",1,"f","subst","no","no"
"375","見る",2,"to see","unclear","adj","neg","no",1,"f","subst","no","no"
"376","見る",2,"to see","right","adj","neg","yes",1,"f","subst","no","no"
